N,GPU,CPU,Speedup
441, 0.000064, 0.000010, 0.156250
449, 0.000064, 0.000011, 0.171875
457, 0.000065, 0.000010, 0.153846
465, 0.000090, 0.000011, 0.122222
473, 0.000093, 0.000010, 0.107527
481, 0.000091, 0.000010, 0.109890
489, 0.000063, 0.000011, 0.174603
497, 0.000092, 0.000011, 0.119565
505, 0.000090, 0.000011, 0.122222
513, 0.000062, 0.000012, 0.193548
521, 0.000063, 0.000012, 0.190476
529, 0.000102, 0.000012, 0.117647
537, 0.000097, 0.000012, 0.123711
545, 0.000099, 0.000012, 0.121212
553, 0.000095, 0.000012, 0.126316
561, 0.000069, 0.000011, 0.159420
569, 0.000098, 0.000012, 0.122449
577, 0.000097, 0.000012, 0.123711
585, 0.000069, 0.000012, 0.173913
593, 0.000067, 0.000014, 0.208955
601, 0.000095, 0.000013, 0.136842
609, 0.000088, 0.000013, 0.147727
617, 0.000096, 0.000013, 0.135417
625, 0.000068, 0.000013, 0.191176
633, 0.000098, 0.000013, 0.132653
641, 0.000072, 0.000013, 0.180556
649, 0.000068, 0.000013, 0.191176
657, 0.000096, 0.000014, 0.145833
665, 0.000133, 0.000014, 0.105263
673, 0.000069, 0.000014, 0.202899
681, 0.000068, 0.000013, 0.191176
689, 0.000098, 0.000014, 0.142857
697, 0.000065, 0.000015, 0.230769
705, 0.000062, 0.000015, 0.241935
713, 0.000091, 0.000015, 0.164835
721, 0.000092, 0.000015, 0.163043
729, 0.000093, 0.000015, 0.161290
737, 0.000061, 0.000016, 0.262295
745, 0.000088, 0.000015, 0.170455
753, 0.000092, 0.000016, 0.173913
761, 0.000065, 0.000015, 0.230769
769, 0.000093, 0.000016, 0.172043
777, 0.000095, 0.000016, 0.168421
785, 0.000063, 0.000016, 0.253968
793, 0.000092, 0.000016, 0.173913
801, 0.000094, 0.000016, 0.170213
809, 0.000091, 0.000016, 0.175824
817, 0.000093, 0.000016, 0.172043
825, 0.000091, 0.000017, 0.186813
833, 0.000092, 0.000017, 0.184783
841, 0.000065, 0.000017, 0.261538
849, 0.000095, 0.000017, 0.178947
857, 0.000092, 0.000018, 0.195652
865, 0.000067, 0.000018, 0.268657
873, 0.000094, 0.000018, 0.191489
881, 0.000064, 0.000018, 0.281250
889, 0.000094, 0.000018, 0.191489
897, 0.000074, 0.000017, 0.229730
905, 0.000091, 0.000018, 0.197802
913, 0.000092, 0.000017, 0.184783
921, 0.000094, 0.000019, 0.202128
929, 0.000093, 0.000019, 0.204301
937, 0.000065, 0.000018, 0.276923
945, 0.000063, 0.000018, 0.285714
953, 0.000091, 0.000019, 0.208791
961, 0.000093, 0.000020, 0.215054
969, 0.000067, 0.000020, 0.298507
977, 0.000090, 0.000019, 0.211111
985, 0.000063, 0.000019, 0.301587
993, 0.000092, 0.000020, 0.217391
1001, 0.000063, 0.000020, 0.317460
1009, 0.000097, 0.000020, 0.206186
1017, 0.000065, 0.000021, 0.323077
1025, 0.000064, 0.000020, 0.312500
1033, 0.000093, 0.000020, 0.215054
1041, 0.000066, 0.000022, 0.333333
1049, 0.000066, 0.000022, 0.333333
1057, 0.000093, 0.000021, 0.225806
1065, 0.000093, 0.000020, 0.215054
1073, 0.000090, 0.000022, 0.244444
1081, 0.000095, 0.000022, 0.231579
1089, 0.000093, 0.000022, 0.236559
1097, 0.000093, 0.000022, 0.236559
1105, 0.000090, 0.000021, 0.233333
1113, 0.000067, 0.000021, 0.313433
1121, 0.000064, 0.000021, 0.328125
1129, 0.000095, 0.000022, 0.231579
1137, 0.000063, 0.000023, 0.365079
1145, 0.000063, 0.000023, 0.365079
1153, 0.000063, 0.000021, 0.333333
1161, 0.000089, 0.000022, 0.247191
1169, 0.000094, 0.000023, 0.244681
1177, 0.000093, 0.000023, 0.247312
1185, 0.000064, 0.000023, 0.359375
1193, 0.000094, 0.000025, 0.265957
1201, 0.000091, 0.000024, 0.263736
1209, 0.000062, 0.000024, 0.387097
1217, 0.000065, 0.000024, 0.369231
1225, 0.000066, 0.000025, 0.378788
1233, 0.000095, 0.000024, 0.252632
1241, 0.000092, 0.000025, 0.271739
1249, 0.000086, 0.000025, 0.290698
